w_bits,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
w_group_size,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
k_bits,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4
k_group_size,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
v_bits,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4
v_group_size,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
k_dim,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0
v_dim,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0,32,32,32,32,0,0,0,0
n_token,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072,16384,32768,65536,131072
wbits,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.0063100961538463,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
kvbits,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
kbits,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
vbits,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
kvdim,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0
kdim,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0
vdim,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0,96.0,96.0,96.0,96.0,128.0,128.0,128.0,128.0
eff_kvbits,1.6875,1.6875,1.6875,1.6875,2.25,2.25,2.25,2.25,3.1875,3.1875,3.1875,3.1875,4.25,4.25,4.25,4.25,1.6875,1.6875,1.6875,1.6875,2.25,2.25,2.25,2.25,3.1875,3.1875,3.1875,3.1875,4.25,4.25,4.25,4.25,1.6875,1.6875,1.6875,1.6875,2.25,2.25,2.25,2.25,3.1875,3.1875,3.1875,3.1875,4.25,4.25,4.25,4.25
eff_kbits,1.6875,1.6875,1.6875,1.6875,2.25,2.25,2.25,2.25,3.1875,3.1875,3.1875,3.1875,4.25,4.25,4.25,4.25,1.6875,1.6875,1.6875,1.6875,2.25,2.25,2.25,2.25,3.1875,3.1875,3.1875,3.1875,4.25,4.25,4.25,4.25,1.6875,1.6875,1.6875,1.6875,2.25,2.25,2.25,2.25,3.1875,3.1875,3.1875,3.1875,4.25,4.25,4.25,4.25
