w_bits,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4
w_group_size,-1,-1,-1,-1,128,128,128,128,128,128,128,128,-1,-1,-1,-1,128,128,128,128,128,128,128,128,-1,-1,-1,-1,128,128,128,128,128,128,128,128,-1,-1,-1,-1,128,128,128,128,128,128,128,128
k_bits,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4
k_group_size,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
v_bits,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4
v_group_size,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
k_dim,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0
v_dim,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0
n_token,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072
wbits,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.25,4.25,4.25,4.25,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.25,4.25,4.25,4.25,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.25,4.25,4.25,4.25,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.25,4.25,4.25,4.25
kvbits,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25
kbits,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25,2.25,2.25,4.25,4.25
