w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_prune_dim,v_prune_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory
4.0,128,4.0,128,4.0,128,0,0,16384,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,5910297600.0

4.0,128,4.0,128,4.0,128,0,0,32768,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,6159858688.0

4.0,128,4.0,128,4.0,128,0,0,65536,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,6658980864.0

4.0,128,4.0,128,4.0,128,0,0,131072,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,7657225216.0
