w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_dim,v_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory,memory_MB,memory_GB
3,128,4,128,4,128,0,0,131072,3.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,9546506240.0,9104.2578125,8.890876770019531
4,128,2,128,2,128,32,32,16384,4.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,6081552384.0,5799.8203125,5.663887023925781
4,128,2,128,2,128,32,32,32768,4.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,6308044800.0,6015.8203125,5.874824523925781
4,128,2,128,2,128,32,32,65536,4.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,6761029632.0,6447.8203125,6.296699523925781
4,128,2,128,2,128,32,32,131072,4.25,2.25,2.25,2.25,96.0,96.0,96.0,1.6875,1.6875,1.6875,7666999296.0,7311.8203125,7.140449523925781
4,128,2,128,2,128,0,0,16384,4.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6159605760.0,5874.2578125,5.736579895019531
4,128,2,128,2,128,0,0,32768,4.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6461595648.0,6162.2578125,6.017829895019531
4,128,2,128,2,128,0,0,65536,4.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,7065575424.0,6738.2578125,6.580329895019531
4,128,2,128,2,128,0,0,131072,4.25,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,8273534976.0,7890.2578125,7.705329895019531
4,128,4,128,4,128,32,32,16384,4.25,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,6281306112.0,5990.3203125,5.849922180175781
4,128,4,128,4,128,32,32,32768,4.25,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,6709125120.0,6398.3203125,6.248359680175781
4,128,4,128,4,128,32,32,65536,4.25,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,7564763136.0,7214.3203125,7.045234680175781
4,128,4,128,4,128,32,32,131072,4.25,4.25,4.25,4.25,96.0,96.0,96.0,3.1875,3.1875,3.1875,9276039168.0,8846.3203125,8.638984680175781
4,128,4,128,4,128,0,0,16384,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,6425944064.0,6128.2578125,5.984626770019531
4,128,4,128,4,128,0,0,32768,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,6996369408.0,6672.2578125,6.515876770019531
4,128,4,128,4,128,0,0,65536,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,8137220096.0,7760.2578125,7.578376770019531
4,128,4,128,4,128,0,0,131072,4.25,4.25,4.25,4.25,128.0,128.0,128.0,4.25,4.25,4.25,10418921472.0,9936.2578125,9.703376770019531
