w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_prune_dim,v_prune_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory
2.0,128,2.0,128,2.0,128,64,64,16384,2.25,2.25,2.25,2.25,64.0,64.0,64.0,1.125,1.125,1.125,4094155776.0

2.0,128,2.0,128,2.0,128,64,64,32768,2.25,2.25,2.25,2.25,64.0,64.0,64.0,1.125,1.125,1.125,4160216064.0

2.0,128,2.0,128,2.0,128,64,64,65536,2.25,2.25,2.25,2.25,64.0,64.0,64.0,1.125,1.125,1.125,4292336640.0

2.0,128,2.0,128,2.0,128,64,64,131072,2.25,2.25,2.25,2.25,64.0,64.0,64.0,1.125,1.125,1.125,4556577792.0
