w_bits,3,3,3,3,3,3,3,3,4,4,4,4,,3,3,3,3,3,3,3,3,4,4,4,4,,3,3,3,3,3,3,3,3,4,4,4,4,,3,3,3,3,3,3,3,3,4,4,4,4
w_group_size,-1,-1,-1,-1,128,128,128,128,-1,-1,-1,-1,,-1,-1,-1,-1,128,128,128,128,-1,-1,-1,-1,,-1,-1,-1,-1,128,128,128,128,-1,-1,-1,-1,,-1,-1,-1,-1,128,128,128,128,-1,-1,-1,-1
k_bits,2,2,3,3,2,2,3,3,2,2,3,3,,2,2,3,3,2,2,3,3,2,2,3,3,,2,2,3,3,2,2,3,3,2,2,3,3,,2,2,3,3,2,2,3,3,2,2,3,3
k_group_size,128,128,32,32,128,128,32,32,128,128,32,32,,128,128,32,32,128,128,32,32,128,128,32,32,,128,128,32,32,128,128,32,32,128,128,32,32,,128,128,32,32,128,128,32,32,128,128,32,32
v_bits,2,2,3,3,2,2,3,3,2,2,3,3,,2,2,3,3,2,2,3,3,2,2,3,3,,2,2,3,3,2,2,3,3,2,2,3,3,,2,2,3,3,2,2,3,3,2,2,3,3
v_group_size,128,128,32,32,128,128,32,32,128,128,32,32,,128,128,32,32,128,128,32,32,128,128,32,32,,128,128,32,32,128,128,32,32,128,128,32,32,,128,128,32,32,128,128,32,32,128,128,32,32
k_prune_dim,48,0,48,0,48,0,48,0,48,0,48,0,,48,0,48,0,48,0,48,0,48,0,48,0,,48,0,48,0,48,0,48,0,48,0,48,0,,48,0,48,0,48,0,48,0,48,0,48,0
v_prune_dim,48,0,48,0,48,0,48,0,48,0,48,0,,48,0,48,0,48,0,48,0,48,0,48,0,,48,0,48,0,48,0,48,0,48,0,48,0,,48,0,48,0,48,0,48,0,48,0,48,0
n_token,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072,131072
wbits,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.006819460067492,4.006819460067492,4.006819460067492,4.006819460067492,,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.006819460067492,4.006819460067492,4.006819460067492,4.006819460067492,,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.006819460067492,4.006819460067492,4.006819460067492,4.006819460067492,,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.0068194600674913,3.25,3.25,3.25,3.25,4.006819460067492,4.006819460067492,4.006819460067492,4.006819460067492
kvbits,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0
kbits,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0
vbits,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0,2.25,2.25,4.0,4.0
kvdim,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0
kdim,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0
vdim,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0,80.0,128.0
eff_kvbits,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0
eff_kbits,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0
eff_vbits,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0,1.40625,2.25,2.5,4.0
