w_bits,w_group_size,k_bits,k_group_size,v_bits,v_group_size,k_prune_dim,v_prune_dim,n_token,wbits,kvbits,kbits,vbits,kvdim,kdim,vdim,eff_kvbits,eff_kbits,eff_vbits,memory
3,-1,2,128,2,128,48,48,16384,3.0063100961538463,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,4957511680.0
3,-1,2,128,2,128,0,0,16384,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5074591744.0
3,-1,3,32,3,32,48,48,16384,3.0063100961538463,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,5103165440.0
3,-1,3,32,3,32,0,0,16384,3.0063100961538463,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,5307637760.0
4,-1,2,128,2,128,48,48,16384,4.006310096153846,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,5829926912.0
4,-1,2,128,2,128,0,0,16384,4.006310096153846,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5947006976.0
4,-1,3,32,3,32,48,48,16384,4.006310096153846,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,5975580672.0
4,-1,3,32,3,32,0,0,16384,4.006310096153846,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,6180052992.0

3,-1,2,128,2,128,48,48,32768,3.0063100961538463,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,5146255360.0
3,-1,2,128,2,128,0,0,32768,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5376581632.0
3,-1,3,32,3,32,48,48,32768,3.0063100961538463,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,5438709760.0
3,-1,3,32,3,32,0,0,32768,3.0063100961538463,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,5844508672.0
4,-1,2,128,2,128,48,48,32768,4.006310096153846,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,6018670592.0
4,-1,2,128,2,128,0,0,32768,4.006310096153846,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6248996864.0
4,-1,3,32,3,32,48,48,32768,4.006310096153846,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,6311124992.0
4,-1,3,32,3,32,0,0,32768,4.006310096153846,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,6716923904.0

3,-1,2,128,2,128,48,48,65536,3.0063100961538463,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,5523742720.0
3,-1,2,128,2,128,0,0,65536,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,5980561408.0
3,-1,3,32,3,32,48,48,65536,3.0063100961538463,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,6109798400.0
3,-1,3,32,3,32,0,0,65536,3.0063100961538463,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,6918250496.0
4,-1,2,128,2,128,48,48,65536,4.006310096153846,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,6396157952.0
4,-1,2,128,2,128,0,0,65536,4.006310096153846,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,6852976640.0
4,-1,3,32,3,32,48,48,65536,4.006310096153846,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,6982213632.0
4,-1,3,32,3,32,0,0,65536,4.006310096153846,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,7790665728.0

3,-1,2,128,2,128,48,48,131072,3.0063100961538463,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,6278717440.0
3,-1,2,128,2,128,0,0,131072,3.0063100961538463,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,7188520960.0
3,-1,3,32,3,32,48,48,131072,3.0063100961538463,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,7451975680.0
3,-1,3,32,3,32,0,0,131072,3.0063100961538463,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,9065734144.0
4,-1,2,128,2,128,48,48,131072,4.006310096153846,2.25,2.25,2.25,80.0,80.0,80.0,1.40625,1.40625,1.40625,7151132672.0
4,-1,2,128,2,128,0,0,131072,4.006310096153846,2.25,2.25,2.25,128.0,128.0,128.0,2.25,2.25,2.25,8060936192.0
4,-1,3,32,3,32,48,48,131072,4.006310096153846,4.0,4.0,4.0,80.0,80.0,80.0,2.5,2.5,2.5,8324390912.0
4,-1,3,32,3,32,0,0,131072,4.006310096153846,4.0,4.0,4.0,128.0,128.0,128.0,4.0,4.0,4.0,9938149376.0
